,epochs,Decay,Modes,Loss,Modes_truncated,Loss_truncated,epochs_truncated
0,0.0,0.042160300386404184,1.0,-0.0006174463630776589,1.0,0.004204114443606979,685.0
1,1.0,0.04261091494865682,1.0,-0.0005922177245942485,1.0,0.004204262844898338,686.0
2,2.0,0.043059972338010157,1.0,-0.0005677651121736446,1.0,0.004204408654498379,687.0
3,3.0,0.04350871964720926,1.0,-0.0005440768113537561,1.0,0.004204551923434204,688.0
4,4.0,0.043958474738520464,1.0,-0.0005211426510610111,1.0,0.004204692705377875,689.0
5,5.0,0.04441067695767904,1.0,-0.0004989511631723454,1.0,0.004204831050900778,690.0
6,6.0,0.0448672772020236,1.0,-0.0004774897368536206,1.0,0.004204967009291631,691.0
7,7.0,0.045329375510656585,1.0,-0.000456744743987931,1.0,0.004205100620321352,692.0
8,8.0,0.04579823471966023,1.0,-0.0004367014939760143,1.0,0.004205231914306513,693.0
9,9.0,0.046275657926804895,1.0,-0.0004173448013635482,1.0,0.004205360908043183,694.0
10,10.0,0.04676438318865481,1.0,-0.00039865903377660244,1.0,0.0042054876137571804,695.0
11,11.0,0.04726831508193025,1.0,-0.00038062802314026666,1.0,0.00420561204769833,696.0
12,12.0,0.04779222294521148,1.0,-0.0003632348782598176,1.0,0.004205734245493229,697.0
13,13.0,0.048341617243543286,1.0,-0.00034646179527128465,1.0,0.004205854258985844,698.0
14,14.0,0.048922667542852794,1.0,-0.000330290057556812,1.0,0.004205972161912752,699.0
15,15.0,0.04954201942247353,1.0,-0.00031470012333163544,1.0,0.004206088025648715,700.0
16,16.0,0.05020672666889656,1.0,-0.00029967176745140906,1.0,0.004206201918995636,701.0
17,17.0,0.050924257958959614,1.0,-0.0002851842923152534,1.0,0.00420631388279842,702.0
18,18.0,0.051702665095563004,1.0,-0.00027121675467303886,1.0,0.004206423927127813,703.0
19,19.0,0.0525508494726775,1.0,-0.0002577481812489704,1.0,0.004206532034323334,704.0
20,20.0,0.05347881806714964,1.0,-0.00024475773373353055,1.0,0.004206638184222992,705.0
21,21.0,0.05449795763353435,1.0,-0.00023222481468208888,1.0,0.004206742385473346,706.0
22,22.0,0.05562135020867927,1.0,-0.00022012913733125014,1.0,0.0042068446810906235,707.0
23,23.0,0.05686415431661043,1.0,-0.0002084507724483732,1.0,0.004206945132241724,708.0
24,24.0,0.058244050254594455,1.0,-0.0001971701799263665,1.0,0.004207043796752857,709.0
25,25.0,0.059781755469961194,1.0,-0.00018626822948453783,1.0,0.004207140717842558,710.0
26,26.0,0.06150170649504515,1.0,-0.0001757262180864339,1.0,0.004207235924849439,711.0
27,27.0,0.06343298481787554,1.0,-0.0001655258929583891,1.0,0.004207329442883981,712.0
28,28.0,0.06561052412281884,1.0,-0.00015564947631125926,1.0,0.004207421299596075,713.0
29,29.0,0.06807670621809973,1.0,-0.00014607968563677914,1.0,0.004207511525955014,714.0
30,30.0,0.0708835548308535,1.0,-0.00013679975156750848,1.0,0.004207600150849864,715.0
31,31.0,0.07409580818587164,1.0,-0.0001277934352445508,1.0,0.004207687198218494,716.0
32,32.0,0.07779523310680833,1.0,-0.00011904504091494291,1.0,0.004207772689142664,717.0
33,33.0,0.08208674380528741,1.0,-0.00011053941790341193,1.0,0.004207856645387237,718.0
34,34.0,0.08710730827619775,1.0,-0.00010226195182180139,1.0,0.004207939091826946,719.0
35,35.0,0.09303929778541711,1.0,-9.419855036631441e-05,1.0,0.004208020055353595,720.0
36,36.0,0.10013108004974877,1.0,-8.633562723496229e-05,1.0,0.004208099562616819,721.0
37,37.0,0.10872989341613021,1.0,-7.866008464930373e-05,1.0,0.004208177638933213,722.0
38,38.0,0.11933656433064686,1.0,-7.11592964294057e-05,1.0,0.004208254308780122,723.0
39,39.0,0.13270116029231455,1.0,-6.382109466113468e-05,1.0,0.004208329596974459,724.0
40,40.0,0.1500003600835708,1.0,-5.66337603822244e-05,1.0,0.004208403528931349,725.0
41,41.0,0.17319146836784846,1.0,-4.958601655916762e-05,1.0,0.004208476129779329,726.0
42,42.0,0.2057891419406388,1.0,-4.266702205379374e-05,1.0,0.004208547423374845,727.0
43,43.0,0.25479990319159246,1.0,-3.586636568463381e-05,1.0,0.004208617431895895,728.0
44,44.0,0.3364932218017178,1.0,-2.9174059082492966e-05,1.0,0.00420868617681385,729.0
45,45.0,0.4992687514208109,1.0,-2.2580527284480138e-05,1.0,0.0042087536791807914,730.0
