,epochs,Decay,Modes,Loss,Modes_truncated,Loss_truncated,epochs_truncated
0,0.0,0.03420403513177336,1.0,-0.00037641963557688703,1.0,0.0019468371165765476,594.0
1,1.0,0.03441301478308366,1.0,-0.00036384252066124265,1.0,0.0019468854675556283,595.0
2,2.0,0.034617989434673584,1.0,-0.0003516068922343981,1.0,0.0019469330781146535,596.0
3,3.0,0.034800785534755366,1.0,-0.0003397117135343281,1.0,0.0019469800773627935,597.0
4,4.0,0.034977530597936526,1.0,-0.00032815166976096717,1.0,0.0019470264413461618,598.0
5,5.0,0.035140857401717136,1.0,-0.00031692704672818013,1.0,0.0019470720764827182,599.0
6,6.0,0.03529354167489015,1.0,-0.0003060322576628764,1.0,0.0019471169439895977,600.0
7,7.0,0.03543992152927798,1.0,-0.0002954637155516569,1.0,0.0019471610703758813,601.0
8,8.0,0.03558079477541205,1.0,-0.0002852165833864766,1.0,0.00194720449130936,602.0
9,9.0,0.03571559994650698,1.0,-0.00027528452572449355,1.0,0.0019472472339121078,603.0
10,10.0,0.035845605964562766,1.0,-0.0002656608917819946,1.0,0.0019472893174302397,604.0
11,11.0,0.03597237791181336,1.0,-0.00025633911998580917,1.0,0.0019473307603011922,605.0
12,12.0,0.036095567899488826,1.0,-0.00024731227525711904,1.0,0.0019473715779519656,606.0
13,13.0,0.03621492513851217,1.0,-0.00023857304998638716,1.0,0.0019474117725594897,607.0
14,14.0,0.03633201352282483,1.0,-0.0002301142822737737,1.0,0.0019474513401558774,608.0
15,15.0,0.036448812676363636,1.0,-0.00022192892678603678,1.0,0.0019474902814708593,609.0
16,16.0,0.03656646656282545,1.0,-0.00021400966340899327,1.0,0.0019475286088168737,610.0
17,17.0,0.03668628610500347,1.0,-0.00020634887853291823,1.0,0.001947566341183179,611.0
18,18.0,0.03681054612849322,1.0,-0.00019893890739666048,1.0,0.0019476034939150144,612.0
19,19.0,0.036941773658034645,1.0,-0.00019177204058564253,1.0,0.0019476400793817079,613.0
20,20.0,0.03708217371518236,1.0,-0.0001848403860343137,1.0,0.0019476761112838358,614.0
21,21.0,0.037233975126415964,1.0,-0.00017813589227602553,1.0,0.0019477116006870355,615.0
22,22.0,0.037399807289375926,1.0,-0.00017165047289773768,1.0,0.001947746548667812,616.0
23,23.0,0.03758266786074337,1.0,-0.00016537605423366125,1.0,0.0019477809499928705,617.0
24,24.0,0.0377856338189586,1.0,-0.00015930455806831598,1.0,0.0019478148074801005,618.0
25,25.0,0.03801177205730108,1.0,-0.00015342789805444782,1.0,0.0019478481397011405,619.0
26,26.0,0.03826439937511029,1.0,-0.00014773802540318844,1.0,0.0019478809713623336,620.0
27,27.0,0.0385473018621765,1.0,-0.00014222698349183302,1.0,0.0019479133168069291,621.0
28,28.0,0.03886465515042193,1.0,-0.00013688692054424174,1.0,0.0019479451751647232,622.0
29,29.0,0.03922085355212607,1.0,-0.0001317100757956479,1.0,0.0019479765418416368,623.0
30,30.0,0.039620588568133816,1.0,-0.00012668878449737276,1.0,0.001948007422171833,624.0
31,31.0,0.04006911488830097,1.0,-0.00012181550924146993,1.0,0.00194803783221,625.0
32,32.0,0.04057239347401444,1.0,-0.00011708286219924504,1.0,0.0019480677878606911,626.0
33,33.0,0.041137057769851715,1.0,-0.0001124835997304639,1.0,0.001948097295812785,627.0
34,34.0,0.04177041893999596,1.0,-0.00010801061079634595,1.0,0.0019481263555899172,628.0
35,35.0,0.04248065670596238,1.0,-0.0001036569210534916,1.0,0.0019481549685862601,629.0
36,36.0,0.04327710200015459,1.0,-9.941570668553902e-05,1.0,0.0019481831434198704,630.0
37,37.0,0.04417046173071448,1.0,-9.528029958337324e-05,1.0,0.0019482108928530729,631.0
38,38.0,0.04517300011562637,1.0,-9.124418011662201e-05,1.0,0.0019482382273277872,632.0
39,39.0,0.046298808981921645,1.0,-8.730096927247413e-05,1.0,0.0019482651522613437,633.0
40,40.0,0.04756424060398292,1.0,-8.344442833944126e-05,1.0,0.00194829167066084,634.0
41,41.0,0.04898847371587619,1.0,-7.966846206185197e-05,1.0,0.0019483177870488182,635.0
42,42.0,0.05059418284917359,1.0,-7.596711797416519e-05,1.0,0.0019483435085880945,636.0
43,43.0,0.05240836131248547,1.0,-7.2334581032267e-05,1.0,0.0019483688431957385,637.0
44,44.0,0.054463411218031735,1.0,-6.876516778641457e-05,1.0,0.0019483937972092458,638.0
45,45.0,0.05679862819128812,1.0,-6.525332304148333e-05,1.0,0.0019484183746826455,639.0
46,46.0,0.05946221711367188,1.0,-6.179361814068458e-05,1.0,0.0019484425783279707,640.0
47,47.0,0.06251403312886232,1.0,-5.8380748554658424e-05,1.0,0.001948466410635584,641.0
48,48.0,0.06602937079208387,1.0,-5.5009529877307784e-05,1.0,0.0019484898738894299,642.0
49,49.0,0.07010432843816036,1.0,-5.167489310110476e-05,1.0,0.0019485129693515724,643.0
50,50.0,0.07486359008723613,1.0,-4.837188035070421e-05,1.0,0.001948535696902453,644.0
51,51.0,0.08047199640807488,1.0,-4.509564142816097e-05,1.0,0.0019485580573294743,645.0
52,52.0,0.08715222958125027,1.0,-4.1841430760309903e-05,1.0,0.001948580057488525,646.0
53,53.0,0.09521273011391299,1.0,-3.860460424049556e-05,1.0,0.001948601717385658,647.0
54,54.0,0.10509348708120404,1.0,-3.538061579923462e-05,1.0,0.001948623071830591,648.0
55,55.0,0.11744465942477579,1.0,-3.2165013894053925e-05,1.0,0.0019486441621161838,649.0
56,56.0,0.13326923841143504,1.0,-2.895343826296072e-05,1.0,0.0019486650186097308,650.0
57,57.0,0.1542001787228971,1.0,-2.5741617183402068e-05,1.0,0.001948685646320234,651.0
58,58.0,0.1830874032019401,1.0,-2.2525365192570085e-05,1.0,0.0019487060202608298,652.0
59,59.0,0.22539145719459347,1.0,-1.930058100324556e-05,1.0,0.0019487260954068725,653.0
60,60.0,0.29306121694402,1.0,-1.6063245428875016e-05,1.0,0.0019487458329172755,654.0
