Epochs,N_modes,Loss
548,1,1.9470585975795999e-03
549,1,1.9470942206680801e-03
550,1,1.9471293780952701e-03
551,1,1.9471641862765e-03
552,1,1.94719841238111e-03
553,1,1.9472322892397601e-03
554,1,1.9472657004371301e-03
555,1,1.94729876238853e-03
556,1,1.94733135867864e-03
557,1,1.94736360572278e-03
558,1,1.9473953871056401e-03
559,1,1.9474269356578599e-03
560,1,1.94745790213346e-03
561,1,1.9474886357784299e-03
562,1,1.9475189037621e-03
563,1,1.9475488224998099e-03
564,1,1.94757839199156e-03
565,1,1.9476076122373299e-03
566,1,1.9476363668218301e-03
567,1,1.9476648885756701e-03
568,1,1.94769306108356e-03
569,1,1.94772076793015e-03
570,1,1.9477482419461001e-03
571,1,1.9477753667160899e-03
572,1,1.94780202582479e-03
573,1,1.9478284521028399e-03
574,1,1.94785441271961e-03
575,1,1.9478800240904099e-03
576,1,1.9479052862152501e-03
577,1,1.94793031550944e-03
578,1,1.94795511197299e-03
579,1,1.94797990843654e-03
580,1,1.9480044720694401e-03
581,1,1.9480288028717e-03
582,1,1.94805243518203e-03
583,1,1.94807525258511e-03
584,1,1.94809748791158e-03
585,1,1.94811902474612e-03
586,1,1.9481402123346901e-03
587,1,1.94816139992326e-03
588,1,1.94818328600377e-03
589,1,1.94820610340685e-03
590,1,1.94822915364057e-03
591,1,1.94825103972107e-03
592,1,1.9482711795717499e-03
593,1,1.94829085376114e-03
594,1,1.9483114592730999e-03
595,1,1.94833322893828e-03
596,1,1.94835488218814e-03
597,1,1.9483745563775301e-03
598,1,1.9483927171677401e-03
599,1,1.9484108779579401e-03
600,1,1.9484305521473299e-03
601,1,1.9484512740746099e-03
602,1,1.9484714139252901e-03
603,1,1.9484901567920999e-03
604,1,1.9485077355056999e-03
605,1,1.94852519780397e-03
606,1,1.94854335859418e-03
607,1,1.94856175221503e-03
608,1,1.9485797965899099e-03
609,2,1.9485967932269001e-03
610,2,1.9486702512949701e-03
611,2,1.94874475710094e-03
612,2,1.9488350953906801e-03
613,2,1.9489279948174999e-03
614,2,1.9490233389660701e-03
615,2,1.9491207785904401e-03
616,2,1.9492201972752801e-03
617,2,1.9493221770972e-03
618,2,1.9494279986247401e-03
619,2,1.9495377782732201e-03
620,2,1.9496516324579701e-03
621,2,1.9497695611789801e-03
622,2,1.94989226292819e-03
623,2,1.95002043619752e-03
624,2,1.9501543138176201e-03
625,2,1.95029401220381e-03
626,2,1.95043988060206e-03
627,2,1.9505921518430101e-03
628,2,1.9507510587573099e-03
629,2,1.9509170670062299e-03
630,2,1.95109040942043e-03
631,2,1.95127108599991e-03
632,2,1.9514592131599799e-03
633,2,1.95165502373129e-03
634,2,1.95185909979045e-03
635,2,1.9520716741681099e-03
636,2,1.9522929796949001e-03
637,2,1.9525230163708301e-03
638,2,1.9527622498571901e-03
639,2,1.9530107965692899e-03
640,2,1.9532688893377798e-03
641,2,1.9535368774086198e-03
642,2,1.9538148771971499e-03
643,2,1.9541026558727e-03
644,2,1.9544009119272202e-03
645,2,1.9547094125300598e-03
646,2,1.95502839051187e-03
647,2,1.9553580787032799e-03
648,2,1.9556984771043101e-03
649,2,1.9560495857149402e-03
650,2,1.9564118701964599e-03
651,2,1.9567848648875999e-03
652,2,1.9571690354496202e-03
653,2,1.9575643818825501e-03
654,2,1.9579709041863702e-03
655,2,1.9583883695304398e-03
656,2,1.9588172435760498e-03
657,2,1.95925729349256e-03
658,2,1.9597085192799599e-03
659,2,1.9601706881076102e-03
660,2,1.9606442656368e-03
661,2,1.9611287862062502e-03
662,2,1.9616244826465802e-03
663,2,1.9621311221271801e-03
664,2,1.9626484718173699e-03
665,2,1.9631769973784698e-03
666,2,1.9637160003185298e-03
667,2,1.9642657134681901e-03
668,2,1.9648261368274702e-03
669,2,1.9653968047350602e-03
670,2,1.96597771719098e-03
671,2,1.9665686413645701e-03
672,2,1.9671693444252001e-03
673,2,1.9677795935422199e-03
674,2,1.96839938871562e-03
675,2,1.96902826428413e-03
676,2,1.9696657545864599e-03
677,2,1.9703118596225999e-03
678,2,1.9709684420376999e-03
679,2,1.9716382957994899e-03
680,2,1.9723225850611899e-03
681,2,1.9730147905647798e-03
682,2,1.9737093243747902e-03
683,2,1.9744085147976901e-03
684,2,1.9751195795834099e-03
685,2,1.9758434500545298e-03
686,2,1.9765733741223799e-03
687,2,1.97730679064989e-03
688,2,1.9780478905886399e-03
689,2,1.97879923507571e-03
690,2,1.9795568659901602e-03
691,2,1.9803184550255498e-03
692,2,1.98108539916575e-03
693,2,1.9818595610559e-03
694,2,1.9826388452202099e-03
695,2,1.9834211561828899e-03
696,2,1.9842074252665e-03
697,2,1.9849985837936401e-03
698,2,1.9857941661030102e-03
699,2,1.9865932408720298e-03
700,2,1.9873951096087699e-03
701,2,1.9881986081600198e-03
702,2,1.9890032708644902e-03
703,2,1.98980886489153e-03
704,2,1.9906163215637198e-03
705,2,1.9914237782359102e-03
706,2,1.99223007075489e-03
707,2,1.9930356647819298e-03
708,2,1.9938421901315498e-03
709,2,1.9946489483118101e-03
710,2,1.9954550080001402e-03
711,2,1.99625827372074e-03
712,2,1.9970580469816901e-03
713,2,1.9978547934442802e-03
714,2,1.9986485131084902e-03
715,2,1.9994385074824099e-03
716,2,2.0002250093966701e-03
717,2,2.0010075531899899e-03
718,2,2.0017866045236601e-03
719,2,2.0025614649057401e-03
720,2,2.0033316686749502e-03
721,2,2.0040960516780602e-03
722,2,2.0048548467457299e-03
723,2,2.00560782104731e-03
724,2,2.0063547417521498e-03
725,2,2.0070958416909001e-03
726,2,2.00783065520227e-03
727,2,2.0085589494556202e-03
728,2,2.0092800259590101e-03
729,2,2.0099943503737402e-03
730,2,2.01070262119174e-03
731,2,2.01140413992107e-03
732,2,2.0120982080698e-03
733,2,2.0127855241298702e-03
734,2,2.0134681835770598e-03
735,2,2.0141464192420201e-03
736,2,2.0148148760199499e-03
737,2,2.0154712256044102e-03
738,2,2.01611896045506e-03
739,2,2.0167627371847599e-03
740,2,2.0174023229628801e-03
741,2,2.0180307328701002e-03
742,2,2.0186465699225699e-03
743,2,2.01926007866859e-03
744,2,2.0198752172291301e-03
745,2,2.0204822067171301e-03
746,2,2.0210749935358802e-03
747,2,2.0216573029756498e-03
748,2,2.0222351886332e-03
749,2,2.02280934900045e-03
750,2,2.0233762916177498e-03
751,2,2.0239339210093e-03
752,2,2.0244831684976799e-03
753,2,2.02502636238933e-03
754,2,2.0255646668374499e-03
755,2,2.02609621919692e-03
756,2,2.0266203209757801e-03
757,2,2.0271376706659798e-03
758,2,2.0276496652513699e-03
759,2,2.0281556062400302e-03
760,2,2.0286557264626e-03
761,2,2.02914979308844e-03
762,2,2.0296359434723902e-03
763,2,2.0301146432757399e-03
764,2,2.0305886864662201e-03
765,2,2.0310583058744699e-03
766,2,2.0315232686698402e-03
767,2,2.0319831091910601e-03
768,2,2.0324387587606898e-03
769,2,2.0328904502093801e-03
770,2,2.0333367865532602e-03
771,2,2.0337766036391302e-03
772,2,2.0342105999589001e-03
773,2,2.0346392411738599e-03
774,2,2.0350632257759601e-03
775,2,2.0354830194264698e-03
776,2,2.03589885495603e-03
777,2,2.0363107323646502e-03
778,2,2.0367184188216899e-03
779,2,2.0371219143271399e-03
780,2,2.0375207532197198e-03
781,2,2.0379151683300699e-03
782,2,2.0383051596581901e-03
783,2,2.0386909600347298e-03
784,2,2.0390735007822501e-03
785,2,2.0394530147314102e-03
786,2,2.0398292690515501e-03
787,2,2.04020156525075e-03
788,2,2.0405696704983698e-03
789,2,2.0409340504556899e-03
790,2,2.0412949379533499e-03
791,2,2.04165256582201e-03
792,2,2.0420067012310002e-03
793,2,2.0423573441803499e-03
794,2,2.0427042618393898e-03
795,2,2.0430474542081399e-03
796,2,2.0433871541172301e-03
797,2,2.04372312873602e-03
798,2,2.0440553780645102e-03
799,2,2.0443846005946402e-03
800,2,2.0447112619876901e-03
801,2,2.0450346637517201e-03
802,2,2.0453566685318899e-03
803,2,2.0456798374652902e-03
804,2,2.0460046362131799e-03
805,2,2.0463261753320698e-03
806,2,2.0466395653784301e-03
807,2,2.0469462033361201e-03
808,2,2.0472512114793101e-03
809,2,2.0475566852837801e-03
810,2,2.04786099493504e-03
811,2,2.04816181212664e-03
812,2,2.0484586711973e-03
813,2,2.04875273630023e-03
814,2,2.0490444730967301e-03
815,2,2.0493341144174298e-03
816,2,2.0496216602623502e-03
817,2,2.0499071106314698e-03
818,2,2.0501902326941499e-03
819,2,2.05047056078911e-03
820,2,2.0507480949163398e-03
821,2,2.0510235335677901e-03
822,2,2.0512971095740799e-03
823,2,2.0515685901045799e-03
824,2,2.0518377423286399e-03
825,2,2.05210479907691e-03
826,2,2.0523702260106802e-03
827,2,2.0526333246380099e-03
828,2,2.0528943277895498e-03
829,2,2.0531532354652899e-03
830,2,2.0534102804958799e-03
831,2,2.05366523005068e-03
832,2,2.0539180841296898e-03
833,2,2.05416907556355e-03
834,2,2.0544177386909702e-03
835,2,2.0546643063426e-03
836,2,2.0549090113490798e-03
837,2,2.0551518537104099e-03
838,2,2.05539283342659e-03
839,2,2.05563218332827e-03
840,2,2.0558689720928699e-03
841,2,2.05610366538167e-03
842,2,2.05633603036404e-03
843,2,2.0565660670399701e-03
844,2,2.0567944739013902e-03
845,2,2.05702194944024e-03
846,2,2.0572494249790898e-03
847,2,2.0574769005179401e-03
848,2,2.0577036775648598e-03
849,2,2.05792812630534e-03
850,2,2.0581488497555299e-03
851,2,2.0583665464073398e-03
852,2,2.05858238041401e-03
853,2,2.0587972830980999e-03
854,2,2.0590117201209099e-03
855,2,2.0592247601598501e-03
856,2,2.0594354718923599e-03
857,2,2.0596440881490699e-03
858,2,2.05985060892999e-03
859,2,2.0600550342351198e-03
860,2,2.0602573640644598e-03
861,2,2.0604582969099301e-03
862,2,2.06065946258605e-03
863,2,2.0608624909073101e-03
864,2,2.0610671490430802e-03
